Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465067107""","=""9780465067107""",0,4.16,Basic Books,Paperback,257,2002,1988,,2019/11/29,"to-read, game-design","to-read (#4), game-design (#14)",to-read,,,,0,1
136091,The Animator's Survival Kit,Richard   Williams,"Williams, Richard",,"=""0571202284""","=""9780571202287""",0,4.40,Faber & Faber,Paperback,342,2001,2001,,2019/11/30,"learning, to-read","learning (#10), to-read (#60)",to-read,,,,0,1
6126119,The Video Game Theory Reader 2,Bernard Perron,"Perron, Bernard",Mark J.P. Wolf,"=""0415962838""","=""9780415962834""",0,3.83,Routledge,Paperback,456,2008,2008,,2019/11/30,"game-design, to-read","game-design (#13), to-read (#59)",to-read,,,,0,1
26152638,"Spelunky (Boss Fight Books, #11)",Derek Yu,"Yu, Derek",,"=""1940535115""","=""9781940535111""",0,4.44,Boss Fight Books,Paperback,224,2016,2015,,2019/11/30,"game-design, to-read","game-design (#12), to-read (#58)",to-read,,,,0,1
176698,Rules of Play: Game Design Fundamentals (Mit Press),Katie Salen Tekinbaş,"Tekinbaş, Katie Salen",Eric Zimmerman,"=""0262240459""","=""0000262240459""",0,3.98,The MIT Press,Hardcover,688,2003,2003,,2019/11/30,"game-design, to-read","game-design (#11), to-read (#57)",to-read,,,,0,1
7821348,Reality is Broken: Why Games Make Us Better and How They Can Change the World,Jane McGonigal,"McGonigal, Jane",,"=""0224089250""","=""9780224089258""",0,3.79,Jonathan Cape,Paperback,354,2011,2010,,2019/11/30,"game-design, to-read","game-design (#10), to-read (#56)",to-read,,,,0,1
103592,"Thinking Strategically: The Competitive Edge in Business, Politics, and Everyday Life (Norton Paperback)",Avinash K. Dixit,"Dixit, Avinash K.",Barry J. Nalebuff,"=""0393310353""","=""9780393310351""",0,3.88,W. W. Norton & Company,Paperback,393,1993,1991,,2019/11/30,"to-read, game-design, personality","to-read (#53), game-design (#9), personality (#3)",to-read,,,,0,1
21567942,Game Project Completed: How Successful Indie Game Developers Finish Their Projects,Thomas Schwarzl,"Schwarzl, Thomas",,"=""""","=""""",0,3.61,Thomas Schwarzl,Kindle Edition,116,2014,2014,,2019/11/30,"game-design, to-read","game-design (#8), to-read (#52)",to-read,,,,0,1
8274481,Fundamentals of Game Design,Ernest Adams,"Adams, Ernest",,"=""0321643372""","=""9780321643377""",0,3.90,New Riders Pub,Paperback,675,2009,2006,,2019/11/30,"to-read, game-design","to-read (#50), game-design (#7)",to-read,,,,0,1
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465051367""","=""9780465051366""",0,3.95,Basic Books,Paperback,272,2005,2003,,2019/11/30,"game-design, to-read","game-design (#6), to-read (#49)",to-read,,,,0,1
627902,Designing Virtual Worlds,Richard Bartle,"Bartle, Richard",,"=""0131018167""","=""9780131018167""",0,4.04,New Riders,Paperback,768,2003,2003,,2019/11/30,"to-read, game-design","to-read (#48), game-design (#5)",to-read,,,,0,1
6145278,David Perry on Game Design: A Brainstorming ToolBox,David      Perry,"Perry, David",,"=""1584506687""","=""9781584506683""",0,3.88,Charles River Media,Paperback,1072,2009,2009,,2019/11/30,"game-design, to-read","game-design (#4), to-read (#47)",to-read,,,,0,1
3396933,The Art of Game Design: A Book of Lenses,Jesse Schell,"Schell, Jesse",,"=""0123694965""","=""9780123694966""",0,4.39,CRC Press,Paperback,520,2008,2008,,2019/11/30,"game-design, to-read","game-design (#3), to-read (#43)",to-read,,,,0,1
25416321,"Actionable Gamification: Beyond Points, Badges, and Leaderboards",Yu-kai Chou,"Chou, Yu-kai",,"=""""","=""""",0,4.15,Octalysis Media,Kindle Edition,513,2015,2015,,2019/11/30,"game-design, to-read","game-design (#2), to-read (#42)",to-read,,,,0,1
8390909,1001 Video Games You Must Play Before You Die,Tony  Mott,"Mott, Tony","Peter Molyneux, Chris Dahlen, Christian Donlan, João Diniz Sanches, Nathan Ditum, Kieron Gillen, Sam Grant, Mitch Krpata, Mathew Kumar, Keza MacDonald, Chris Baker, Gus Mastrapa, Ben Maxwell, David McCarthy, Jim McCauley, Alec Meer, Simon Parkin, Jim Rossignol, Jamie Russell, Ben Schroder, Rob  Smith, Tom Benjamin, Tim Stone, Keith Stuart, John Teti, David Valjalo, Ben Wilson, Alex Wiltshire, Owain Bennallack, Brandon Boyer, Jason Brookes, Jamin Brophy-Warren, Matthew Castle, Mike Channell, Richard  Stanton","=""0789320908""","=""9780789320902""",0,3.81,Universe,Hardcover,960,2010,2010,,2019/11/30,"games, to-read","games (#1), to-read (#41)",to-read,,,,0,1
3385050,Game Feel (Morgan Kaufmann Game Design Books),Steve Swink,"Swink, Steve",,"=""0123743281""","=""9780123743282""",0,3.92,Routledge,Paperback,376,2008,2008,,2019/11/30,"to-read, game-design","to-read (#40), game-design (#1)",to-read,,,,0,1
